Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount_IDR,Age,Gender,Location,Mobile_Banking_Status,Has_Credit_Card,Has_Mutual_Fund
TXN-000938,BNK-0170,2025-01-01,Transfer Out,4572000.0,45,Female,Surabaya,Inactive,0,0
TXN-002076,BNK-0225,2025-01-01,Transfer Out,2834000.0,41,Male,Surabaya,Inactive,1,1
TXN-002846,BNK-0030,2025-01-01,QRIS Payment,236000.0,44,Male,Medan,Active,0,0
TXN-002228,BNK-0386,2025-01-01,Transfer Out,2272000.0,62,Female,Jabodetabek,Active,0,1
TXN-001993,BNK-0364,2025-01-01,Transfer Out,1482000.0,39,Female,Surabaya,Active,0,0
TXN-004072,BNK-0400,2025-01-01,ATM Withdrawal,110000.0,40,Male,Bandung,Inactive,0,1
TXN-005613,BNK-0285,2025-01-01,Bill Payment,969000.0,57,Female,Bandung,Active,0,0
TXN-004212,BNK-0328,2025-01-01,Transfer Out,1661000.0,50,Male,Bandung,Inactive,0,0
TXN-005744,BNK-0474,2025-01-01,Transfer Out,4377000.0,47,Male,Surabaya,Inactive,0,0
TXN-005894,BNK-0353,2025-01-02,Transfer Out,3461000.0,20,Male,Surabaya,Active,0,1
TXN-001379,BNK-0399,2025-01-02,QRIS Payment,194000.0,49,Male,Jabodetabek,Active,0,1
TXN-000061,BNK-0490,2025-01-02,QRIS Payment,495000.0,41,Female,Surabaya,Inactive,0,0
TXN-004517,BNK-0300,2025-01-02,Bill Payment,797000.0,50,Female,Jabodetabek,Active,0,0
TXN-001439,BNK-0191,2025-01-02,QRIS Payment,278000.0,50,Female,Makassar,Inactive,1,0
TXN-003781,BNK-0057,2025-01-02,ATM Withdrawal,1554000.0,52,Female,Bandung,Active,0,1
TXN-001509,BNK-0498,2025-01-02,QRIS Payment,190000.0,29,Male,Surabaya,Inactive,1,0
TXN-004798,BNK-0005,2025-01-03,QRIS Payment,467000.0,25,Female,Jabodetabek,Inactive,1,1
TXN-003657,BNK-0171,2025-01-03,Transfer Out,1294000.0,61,Female,Jabodetabek,Inactive,0,0
TXN-003082,BNK-0428,2025-01-03,QRIS Payment,360000.0,36,Female,Jabodetabek,Active,1,0
TXN-001072,BNK-0459,2025-01-03,Transfer Out,2296000.0,31,Female,Jabodetabek,Active,0,0
TXN-001024,BNK-0120,2025-01-03,Transfer Out,1676000.0,40,Female,Bandung,Active,0,0
TXN-003406,BNK-0030,2025-01-03,Bill Payment,513000.0,44,Male,Medan,Active,0,0
TXN-003965,BNK-0117,2025-01-03,Transfer Out,3017000.0,29,Female,Jabodetabek,Inactive,0,1
TXN-003953,BNK-0215,2025-01-03,QRIS Payment,418000.0,19,Male,Jabodetabek,Active,1,0
TXN-003461,BNK-0359,2025-01-03,Bill Payment,554000.0,57,Female,Makassar,Active,0,0
TXN-002030,BNK-0271,2025-01-03,ATM Withdrawal,355000.0,26,Female,Jabodetabek,Inactive,0,1
TXN-003997,BNK-0183,2025-01-03,Bill Payment,932000.0,58,Female,Medan,Non-User,0,1
TXN-001035,BNK-0413,2025-01-04,Transfer Out,124000.0,61,Female,Jabodetabek,Inactive,0,0
TXN-004328,BNK-0039,2025-01-04,Transfer Out,1660000.0,24,Male,Jabodetabek,Active,0,0
TXN-002036,BNK-0202,2025-01-04,Transfer Out,508000.0,19,Male,Jabodetabek,Active,0,1
TXN-001699,BNK-0250,2025-01-04,Bill Payment,724000.0,56,Female,Jabodetabek,Inactive,1,1
TXN-003713,BNK-0370,2025-01-04,QRIS Payment,14000.0,43,Female,Jabodetabek,Inactive,1,0
TXN-003524,BNK-0317,2025-01-04,QRIS Payment,111000.0,55,Female,Bandung,Active,0,1
TXN-005390,BNK-0448,2025-01-05,QRIS Payment,271000.0,56,Male,Bandung,Active,0,0
TXN-002476,BNK-0149,2025-01-05,QRIS Payment,78000.0,49,Female,Jabodetabek,Inactive,1,1
TXN-003308,BNK-0260,2025-01-05,QRIS Payment,361000.0,59,Male,Makassar,Active,0,0
TXN-005221,BNK-0358,2025-01-05,QRIS Payment,196000.0,20,Female,Jabodetabek,Active,1,1
TXN-002599,BNK-0397,2025-01-05,ATM Withdrawal,1530000.0,51,Female,Jabodetabek,Active,0,0
TXN-003568,BNK-0377,2025-01-05,Transfer Out,2519000.0,46,Male,Makassar,Active,1,0
TXN-004690,BNK-0084,2025-01-05,QRIS Payment,494000.0,35,Female,Jabodetabek,Active,0,0
TXN-004675,BNK-0242,2025-01-06,Transfer Out,3099000.0,20,Male,Makassar,Active,0,0
TXN-003982,BNK-0472,2025-01-06,Transfer Out,1359000.0,53,Male,Makassar,Inactive,0,0
TXN-001355,BNK-0446,2025-01-06,Transfer Out,4016000.0,18,Female,Bandung,Active,0,0
TXN-000664,BNK-0426,2025-01-06,Bill Payment,200000.0,59,Male,Jabodetabek,Inactive,0,0
TXN-000363,BNK-0204,2025-01-06,QRIS Payment,307000.0,54,Female,Bandung,Active,0,0
TXN-005475,BNK-0002,2025-01-06,QRIS Payment,117000.0,46,Female,Jabodetabek,Inactive,0,0
TXN-002979,BNK-0425,2025-01-06,Transfer Out,881000.0,30,Female,Jabodetabek,Inactive,0,0
TXN-005474,BNK-0087,2025-01-06,Transfer Out,3855000.0,43,Male,Medan,Non-User,0,1
TXN-003748,BNK-0099,2025-01-06,Transfer Out,3529000.0,18,Male,Jabodetabek,Active,1,0
TXN-003679,BNK-0018,2025-01-06,QRIS Payment,74000.0,19,Male,Jabodetabek,Active,0,0
TXN-000303,BNK-0118,2025-01-07,Transfer Out,4181000.0,51,Female,Surabaya,Active,0,0
TXN-001519,BNK-0187,2025-01-07,ATM Withdrawal,856000.0,25,Female,Medan,Active,0,0
TXN-002729,BNK-0110,2025-01-07,QRIS Payment,477000.0,59,Female,Makassar,Inactive,0,0
TXN-003026,BNK-0056,2025-01-07,QRIS Payment,111000.0,64,Male,Makassar,Active,0,1
TXN-001800,BNK-0181,2025-01-07,Transfer Out,3366000.0,44,Male,Jabodetabek,Active,0,0
TXN-000149,BNK-0010,2025-01-07,Bill Payment,322000.0,28,Male,Jabodetabek,Active,1,0
TXN-000315,BNK-0450,2025-01-07,QRIS Payment,392000.0,39,Female,Medan,Inactive,0,0
TXN-000443,BNK-0305,2025-01-07,ATM Withdrawal,1231000.0,37,Male,Medan,Active,0,1
TXN-000827,BNK-0232,2025-01-07,QRIS Payment,28000.0,50,Male,Jabodetabek,Active,0,0
TXN-004456,BNK-0188,2025-01-08,Bill Payment,904000.0,44,Female,Jabodetabek,Inactive,1,1
TXN-005320,BNK-0418,2025-01-08,Bill Payment,1442000.0,62,Female,Jabodetabek,Inactive,1,0
TXN-000388,BNK-0438,2025-01-08,Bill Payment,645000.0,18,Female,Bandung,Active,0,0
TXN-005433,BNK-0090,2025-01-08,Transfer Out,505000.0,58,Female,Surabaya,Inactive,1,0
TXN-002632,BNK-0479,2025-01-08,Transfer Out,2863000.0,53,Male,Jabodetabek,Active,0,0
TXN-002605,BNK-0111,2025-01-08,Transfer Out,1421000.0,56,Male,Bandung,Non-User,1,0
TXN-005536,BNK-0075,2025-01-08,Bill Payment,822000.0,48,Male,Jabodetabek,Active,1,0
TXN-002711,BNK-0029,2025-01-08,QRIS Payment,84000.0,42,Female,Bandung,Active,1,0
TXN-002591,BNK-0260,2025-01-08,QRIS Payment,364000.0,59,Male,Makassar,Active,0,0
TXN-003869,BNK-0192,2025-01-08,Transfer Out,2561000.0,59,Female,Bandung,Non-User,0,0
TXN-002354,BNK-0195,2025-01-08,QRIS Payment,243000.0,32,Male,Bandung,Inactive,0,0
